ebv,Gmag_cor,BPmag_cor,RPmag_cor,Jmag_cor,Hmag_cor,Kmag_cor,W1mag_cor,W2mag_cor,W3mag_cor,ebv_index
2.1,-5.883958859081312,-7.227471727555284,-3.906120129417578,-1.7059902475833457,-1.0627515473872113,-0.7289224080951178,-0.41682491166659297,-0.290776810198148,-0.11091129137817571,21
2.2,-6.164147376180423,-7.57163704791506,-4.092125849866035,-1.7872278784206481,-1.1133587639294595,-0.7636329989567902,-0.43667371698404983,-0.30462332496948835,-0.11619278144380313,22
2.3,-6.444335893279533,-7.915802368274836,-4.278131570314491,-1.8684655092579503,-1.1639659804717077,-0.7983435898184624,-0.45652252230150664,-0.31846983974082876,-0.12147427150943055,23
2.4,-6.724524410378643,-8.259967688634612,-4.464137290762947,-1.9497031400952525,-1.214573197013956,-0.8330541806801347,-0.47637132761896345,-0.3323163545121691,-0.12675576157505797,24
2.5,-7.004712927477752,-8.604133008994385,-4.650143011211402,-2.0309407709325544,-1.265180413556204,-0.8677647715418069,-0.4962201329364202,-0.3461628692835095,-0.13203725164068536,25
2.6,-7.284901444576862,-8.948298329354161,-4.836148731659859,-2.1121784017698566,-1.3157876300984521,-0.9024753624034791,-0.516068938253877,-0.3600093840548499,-0.13731874170631278,26
2.7,-7.565089961675973,-9.292463649713937,-5.022154452108315,-2.193416032607159,-1.3663948466407003,-0.9371859532651515,-0.5359177435713338,-0.37385589882619025,-0.1426002317719402,27
2.8,-7.845278478775083,-9.636628970073714,-5.208160172556771,-2.274653663444461,-1.4170020631829485,-0.9718965441268238,-0.5557665488887906,-0.38770241359753066,-0.14788172183756762,28
2.9,-8.125466995874193,-9.980794290433488,-5.394165893005227,-2.3558912942817636,-1.4676092797251967,-1.0066071349884962,-0.5756153542062475,-0.401548928368871,-0.15316321190319504,29
3.0,-8.405655512973302,-10.324959610793263,-5.5801716134536825,-2.4371289251190653,-1.5182164962674447,-1.0413177258501682,-0.5954641595237042,-0.4153954431402114,-0.15844470196882243,30
3.1,-8.685844030072413,-10.66912493115304,-5.766177333902139,-2.5183665559563675,-1.568823712809693,-1.0760283167118405,-0.615312964841161,-0.4292419579115518,-0.16372619203444985,31
3.2,-8.966032547171524,-11.013290251512815,-5.952183054350596,-2.59960418679367,-1.6194309293519413,-1.110738907573513,-0.635161770158618,-0.4430884726828922,-0.1690076821000773,32
3.3,-9.246221064270632,-11.357455571872588,-6.138188774799051,-2.680841817630972,-1.670038145894189,-1.145449498435185,-0.6550105754760747,-0.4569349874542325,-0.17428917216570466,33
3.4,-9.526409581369744,-11.701620892232366,-6.324194495247507,-2.7620794484682745,-1.7206453624364375,-1.1801600892968576,-0.6748593807935316,-0.4707815022255729,-0.1795706622313321,34
3.5,-9.806598098468854,-12.04578621259214,-6.5102002156959635,-2.843317079305576,-1.7712525789786855,-1.2148706801585296,-0.6947081861109883,-0.48462801699691327,-0.1848521522969595,35
3.6,-10.086786615567963,-12.389951532951915,-6.69620593614442,-2.9245547101428784,-1.8218597955209337,-1.249581271020202,-0.7145569914284451,-0.4984745317682537,-0.19013364236258692,36
3.7,-10.366975132667074,-12.734116853311692,-6.882211656592876,-3.0057923409801806,-1.872467012063182,-1.2842918618818742,-0.7344057967459019,-0.5123210465395941,-0.19541513242821434,37
3.8,-10.647163649766183,-13.078282173671468,-7.068217377041332,-3.0870299718174827,-1.92307422860543,-1.3190024527435464,-0.7542546020633587,-0.5261675613109345,-0.20069662249384176,38
3.9,-10.927352166865294,-13.422447494031243,-7.254223097489788,-3.1682676026547854,-1.9736814451476783,-1.353713043605219,-0.7741034073808156,-0.5400140760822748,-0.20597811255946918,39
4.0,-11.207540683964403,-13.766612814391017,-7.440228817938244,-3.249505233492087,-2.0242886616899263,-1.388423634466891,-0.7939522126982723,-0.5538605908536152,-0.21125960262509658,40
4.1,-11.487729201063514,-14.110778134750795,-7.626234538386701,-3.3307428643293897,-2.0748958782321747,-1.4231342253285635,-0.8138010180157292,-0.5677071056249556,-0.21654109269072402,41
4.2,-11.767917718162623,-14.454943455110568,-7.812240258835156,-3.4119804951666914,-2.1255030947744227,-1.4578448161902355,-0.8336498233331859,-0.581553620396296,-0.22182258275635142,42
4.3,-12.048106235261733,-14.799108775470343,-7.998245979283611,-3.4932181260039936,-2.1761103113166707,-1.4925554070519078,-0.8534986286506427,-0.5954001351676362,-0.2271040728219788,43
4.4,-12.328294752360845,-15.14327409583012,-8.18425169973207,-3.5744557568412962,-2.226717527858919,-1.5272659979135803,-0.8733474339680997,-0.6092466499389767,-0.23238556288760626,44
4.5,-12.608483269459953,-15.487439416189893,-8.370257420180524,-3.655693387678598,-2.277324744401167,-1.5619765887752524,-0.8931962392855564,-0.6230931647103171,-0.23766705295323365,45
4.6,-12.888671786559065,-15.831604736549671,-8.556263140628982,-3.7369310185159006,-2.3279319609434155,-1.5966871796369249,-0.9130450446030133,-0.6369396794816575,-0.2429485430188611,46
4.7,-13.168860303658175,-16.175770056909446,-8.742268861077436,-3.8181686493532023,-2.3785391774856635,-1.631397770498597,-0.93289384992047,-0.6507861942529979,-0.2482300330844885,47
4.8,-13.449048820757286,-16.519935377269224,-8.928274581525894,-3.899406280190505,-2.429146394027912,-1.6661083613602694,-0.9527426552379269,-0.6646327090243382,-0.25351152315011594,48
4.9,-13.729237337856395,-16.864100697629,-9.114280301974349,-3.980643911027807,-2.47975361057016,-1.7008189522219417,-0.9725914605553837,-0.6784792237956786,-0.25879301321574333,49
5.0,-14.009425854955504,-17.20826601798877,-9.300286022422805,-4.061881541865109,-2.530360827112408,-1.7355295430836137,-0.9924402658728404,-0.692325738567019,-0.2640745032813707,50
5.1,-14.289614372054615,-17.552431338348548,-9.486291742871261,-4.143119172702411,-2.5809680436546563,-1.7702401339452862,-1.0122890711902972,-0.7061722533383594,-0.26935599334699817,51
5.2,-14.569802889153724,-17.896596658708322,-9.672297463319717,-4.224356803539713,-2.6315752601969042,-1.8049507248069583,-1.032137876507754,-0.7200187681096998,-0.27463748341262556,52
5.3,-14.849991406252837,-18.2407619790681,-9.858303183768173,-4.305594434377016,-2.6821824767391527,-1.8396613156686308,-1.051986681825211,-0.7338652828810401,-0.279918973478253,53
5.4,-15.130179923351946,-18.584927299427875,-10.04430890421663,-4.386832065214318,-2.7327896932814006,-1.874371906530303,-1.0718354871426676,-0.7477117976523805,-0.2852004635438804,54
5.5,-15.410368440451055,-18.92909261978765,-10.230314624665086,-4.46806969605162,-2.7833969098236486,-1.909082497391975,-1.0916842924601244,-0.7615583124237209,-0.2904819536095078,55
