name,ra,dec,Class,significance,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,var_intra_prob,var_inter_prob,powlaw_gamma_mean,e_powlaw_gamma_mean,MW_MW,p_any,p_i,Gmag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,RPlx,PM,epsi,sepsi,ruwe,rgeo,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,W1mag,W2mag,W3mag,e_W1mag,e_W2mag,e_W3mag
2CXO J183005.2-020234,277.5219666,-2.0428115,YSO,6.009983592025331,7.978845608028655e-18,6.028102749890869e-18,2.267449357843225e-16,1.5146757302714084e-16,8.16972757346598e-15,1.4746451361030497e-15,0.76011456680269,,,,cat,0.9987947,1.0,,,,,,,,,,,,,18.268,14.351,11.562,,0.058,0.026,9.799,8.221,6.705,0.012,0.009,0.036
2CXO J183005.3-020026,277.5222864,-2.0074139,YSO,2.722222222222044,7.978845608028655e-18,6.028102749890869e-18,9.968095470734377e-17,7.531002186311865e-17,1.204430726614892e-15,5.3219032106240495e-16,0.2605930290111999,,,,cat,0.9980839,1.0,,,,,,,,,,,,,18.115,15.635,12.334,,0.132,0.028,10.258,8.821,7.32,0.01,0.008,0.022
2CXO J183005.8-020144,277.5241758,-2.0290361,YSO,8.279940276195068,3.317306319286885e-16,2.506260219573836e-16,6.60333794017478e-16,2.4762517275655504e-16,1.941611732507e-14,2.548799368451e-15,0.9963355050380104,,,,cat,0.99899614,1.0,,,,,,,,,,,,,18.336,15.139,9.948,,0.088,0.023,7.163,6.233,2.877,0.018,0.068,0.011
2CXO J183006.1-020219,277.5257922,-2.0387774,YSO,6.437626252438752,2.27509379031564e-16,1.729071280639875e-16,6.6980322455675865e-16,2.432201555096247e-16,9.08828424322862e-15,1.60171087678135e-15,0.85967866807505,,,,t,0.99904644,1.0,,,,,,,,,,,,,18.211,16.027,13.676,,,0.042,,,,,,
2CXO J183006.7-020337,277.528197,-2.0604993,YSO,5.707664114462507,7.5555279462505e-17,5.708281752417936e-17,1.713139235535648e-16,1.30198581900707e-16,9.101083139861534e-15,1.7858145381751258e-15,0.928535217340931,,,,ca,0.9984441,1.0,,,,,,,,,,,,,,,,,,,13.55,10.503,10.284,0.015,0.008,
2CXO J183006.9-015632,277.5288246,-1.942333,YSO,4.43243243243259,7.978845608028655e-18,6.028102749890869e-18,3.1001026954485983e-16,1.781292875824959e-16,4.896564956663107e-15,1.3423140181724402e-15,0.97777055656478,,,,cat,0.9959672,1.0,,,,,,,,,,,,,15.391,13.372,12.537,0.063,0.033,0.03,11.902,11.372,9.553,0.012,0.01,0.069
2CXO J183007.2-015919,277.530143,-1.9887557,YSO,4.062500000000127,2.327107038311236e-16,1.4544418989445402e-16,3.214085671935926e-16,1.6427336473145083e-16,2.3415704361066e-15,7.663321427258001e-16,0.73536173260774,,,,gcat,0.9981612,1.0,20.805296,21.526056,19.306721,0.041244,0.324633,0.099613,,0.0,0.002701,0.8347,,,14.571,12.374,11.138,0.043,0.029,0.025,10.104,9.346,8.16,0.011,0.009,0.04
2CXO J183007.7+011204,277.5321587,1.2012107,YSO,15.599999196994611,3.82963635449908e-15,6.046360516731501e-16,1.0021597946291321e-14,9.530232028428e-16,2.4393672331058e-14,2.662750363886e-15,0.79776930633132,,2.6521802412302486,0.2265975079324328,gcat,0.99904186,1.0,17.345465,19.672543,15.682918,0.005736,0.06374,0.016715,8.0115,0.010519,0.001869,72.73,2.563,488.48761,12.248,10.838,10.068,0.023,0.032,0.023,9.181,8.477,6.608,0.012,0.009,0.018
2CXO J183008.7-020610,277.536293,-2.1028299,YSO,7.725608047188134,8.202455427749734e-17,6.197042347845603e-17,5.830042669812821e-16,2.28132104470935e-16,1.3972740971221e-14,2.0640241339940004e-15,0.81678588563503,,,,c,0.9987342,1.0,,,,,,,,,,,,,,,,,,,12.79,11.205,,0.021,0.011,
2CXO J183009.2-020723,277.5386792,-2.1231104,YSO,7.958783705270616,7.950496450496845e-17,6.006684659747274e-17,2.8835743326255003e-15,5.122138675582002e-16,1.1792617111231555e-14,2.029143259910649e-15,0.984726686075049,,,,cat,0.99606234,1.0,,,,,,,,,,,,,16.675,13.711,11.771,,0.037,0.025,10.244,9.071,7.033,0.011,0.009,0.031
2CXO J183010.7-020354,277.5449633,-2.0652417,YSO,2.864864864864914,7.978845608028655e-18,6.028102749890869e-18,2.056248389483008e-16,1.5666654396060951e-16,2.1751003896851204e-15,8.330171705177501e-16,0.5256824243267699,,,,cat,0.9969279,1.0,,,,,,,,,,,,,18.459,16.577,14.884,,,0.125,12.579,10.514,8.54,0.018,0.012,0.06
2CXO J183011.1+011237,277.5463406,1.210521,YSO,39.962848919791455,2.16026247332472e-14,1.4462534530375014e-15,6.5781566775498e-14,2.4901929203099977e-15,2.2016847745514798e-13,8.533720596204994e-15,1.0,,2.298150669093224,0.0838042958910673,gct,0.99818265,1.0,18.105309,20.362555,16.633669,0.009734,0.132966,0.02665,13.5762,0.009921,0.00069,3.754,1.049,474.5224,13.258,12.481,11.956,,0.037,0.026,11.38,10.904,,0.052,0.038,
2CXO J183018.2+011417,277.5759781,1.2381227,YSO,6.431058803903225,6.7886863721742e-16,2.8663342460291e-16,2.2592013104755e-15,4.800802784760002e-16,4.2771071933405004e-15,1.2984075408355001e-15,0.984449455204124,,,,gcat,0.9957338,1.0,18.113695,20.148331,16.686453,0.00515,0.123613,0.015348,15.3503,0.009916,7.5e-05,0.04411,0.985,468.395172,13.307,11.773,10.895,0.026,0.032,0.02,10.477,9.825,6.881,0.013,0.009,0.016
2CXO J183049.9-123219,277.7081073,-12.5386388,CV,18.502284493113603,4.02642365798508e-14,8.427398353922502e-15,1.1649059671577e-13,1.3678454141970002e-14,1.8449000158639e-12,1.2119843232036253e-13,0.58626052974037,,0.2198944228040143,0.1590639102081009,g,0.99167305,1.0,17.640049,18.089428,16.945642,0.010701,0.048289,0.035421,4.0403,0.000887,0.0,0.0,0.98,2217.78052,,,,,,,,,,,,
2CXO J183241.1+003438,278.1714192,0.5774748,LM-STAR,4.3999999999998165,3.5015949228938586e-15,8.108713931753483e-16,8.008934494074784e-16,3.630634567012591e-16,9.97864443736083e-16,7.538972042836652e-16,0.4651207277533999,0.874,,,gcat,0.99808335,1.0,8.642244,8.877149,8.247316,0.002772,0.002852,0.003789,246.4437,0.0219469999999999,0.0001189999999999,14.49,1.19,212.395996,7.829,7.641,7.571,0.023,0.055,0.029,7.566,7.544,7.509,0.014,0.009,0.02
2CXO J183328.3-102408,278.3679292,-10.4024283,HMXB,28.874564029442176,9.312009133300548e-15,6.384900881566702e-16,4.0683054022120735e-14,1.3662448003602965e-15,2.9011613677272626e-13,7.249874709055642e-15,0.989895528305964,1.0,,,gcat,0.9944445,1.0,10.961636,11.906382,9.991757,0.003062,0.003971,0.005236,16.908,0.000104,0.000185,30.97,0.815,1996.07397,8.663,8.244,7.793,0.029,0.026,0.027,7.05,6.962,6.11,0.011,0.013,0.024
2CXO J183358.3-103726,278.4932632,-10.6241116,LM-STAR,4.875000000000044,9.09268249817096e-16,1.8586827036321734e-16,1.0518492110681045e-15,1.9973328299146576e-16,2.4936242153786727e-15,5.29592831773128e-16,0.901353833450547,0.978,,,gcat,0.98974514,1.0,9.541965,10.111026,8.803067,0.002855,0.003622,0.004043,39.7643,0.010239,0.000445,172.1,3.287,408.540833,7.953,7.78,7.616,0.021,0.034,0.027,7.143,7.49,7.882,0.009,0.009,0.038
2CXO J183542.3+325845,278.9265895,32.9794069,LM-STAR,31.062016795117785,9.174453361179252e-14,4.097866676322616e-15,4.4264431750346857e-14,2.8692790853485118e-15,6.8297562222218e-14,6.610214348780999e-15,0.959634092598977,,3.1137061299985365,0.1582714286119137,gcat,0.9988732,1.0,12.79814,13.482965,12.004153,0.004379,0.012093,0.010664,146.4474,0.018323,6.8e-05,5.699,1.041,614.751709,10.777,10.124,9.959,0.022,0.021,0.018,9.957,9.942,9.781,0.012,0.009,0.044
2CXO J183553.6+592330,278.973363,59.3917366,AGN,10.731130942257217,9.34191106490116e-15,1.2935415510341302e-15,8.848868845997874e-15,1.407048205871103e-15,2.258479560036e-14,5.297668103788e-15,0.60005101280542,,2.1241368172909336,0.3209731641634991,gca,0.99873495,1.0,19.638498,19.828505,19.261349,0.004849,0.063336,0.062105,-0.7892,0.000748,0.0,2.258e-15,1.033,4838.83643,,,,,,,16.414,15.484,12.499,0.022,0.025,0.28
2CXO J183723.5-060550,279.3483184,-6.0974932,LM-STAR,9.29413168376651,3.6684313047468e-14,4.238154189942002e-15,3.76761877124882e-15,1.6005375360191381e-15,7.978845608028655e-18,6.028102749890869e-18,0.68397938938541,,,,gcat,0.9961918,1.0,9.481852,9.720498,9.080975,0.002765,0.002822,0.003797,168.2896,0.015611,0.0002949999999999,83.94,2.047,154.187683,8.654,8.47,8.384,0.018,0.023,0.023,8.338,8.398,7.926,0.016,0.013,0.206
2CXO J183924.6-054959,279.8526451,-5.8331781,HM-STAR,2.16666666666663,6.437915187559032e-16,4.921931619375754e-16,9.47804278815222e-16,5.744268356455901e-16,1.4231279721980052e-15,1.0751883247397464e-15,0.971348144517179,,,,gt,0.988714,1.0,12.808895,13.05263,11.845965,0.00278,0.003508,0.004352,19.9605,0.001256,0.000301,63.68,2.014,1223.41931,10.983,10.528,10.557,,,0.058,,,,,,
2CXO J184134.4-035234,280.3935303,-3.8762926,LM-STAR,12.894797081585184,1.0905747783405679e-13,1.0479388026766192e-14,1.9733502135532e-14,3.587909479188e-15,6.649906134291e-15,3.799946362452e-15,0.7072933239813499,,9.944595006730864,2.065867711026109,gcat,0.9935075,1.0,9.468484,9.78727,8.97228,0.002842,0.003587,0.00402,57.7835,0.010451,0.000959,786.0,7.516,137.194641,8.445,8.175,8.063,0.023,0.038,0.029,7.743,7.93,8.272,0.009,0.008,0.049
2CXO J184451.1-025611,281.213104,-2.9366218,LM-STAR,3.000000000000129,6.04034856475302e-16,2.1403587209431199e-16,4.306582111465158e-16,2.1953817959305343e-16,2.171538941684108e-15,1.1635183877273705e-15,0.0537478804233999,0.295,,,gcat,0.9931608,1.0,10.191273,10.570908,9.634797,0.00277,0.002823,0.003787,18.6293,0.005735,0.001874,3556.0,11.759,241.401138,8.96,8.684,8.628,0.018,0.031,0.029,8.194,8.433,8.51,0.008,0.008,0.271
2CXO J184501.5-043356,281.2565932,-4.5656677,HMXB,20.468150862752392,9.88284085202158e-16,1.0010750969324836e-15,5.358940950935865e-15,2.6653545538464426e-15,3.479275941363041e-12,1.8782193836882872e-13,0.9983516332816234,,-0.2807043500073177,0.7457439983643193,gct,0.98681307,1.0,12.755314,14.262078,11.576122,0.002876,0.004063,0.004489,6.9248,0.005759,0.000122,10.96,0.99,5436.1958,9.746,9.259,8.948,0.026,0.028,0.025,8.599,8.648,,0.012,0.009,
2CXO J184536.8+005147,281.4034665,0.8632755,HMXB,2.342857142857161,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,3.46113437092437e-14,1.4703386447016204e-14,0.5331459937979,,,,gcat,0.9943816,1.0,18.606775,20.93684,17.230015,0.010559,0.118015,0.031179,0.399,0.004421,0.000152,0.1054,0.949,5097.8374,13.79,12.82,12.179,0.035,0.035,0.037,12.218,12.031,11.793,0.013,0.01,
2CXO J184604.0-023921,281.5169759,-2.6559177,HM-STAR,10.959128134927818,7.978845608028655e-18,6.028102749890869e-18,2.4208727965229e-15,8.893002109676e-16,1.0961244884454917e-13,1.1140709409298558e-14,0.5424471202996499,,,,t,0.99425894,1.0,,,,,,,,,,,,,13.805,11.05,8.969,0.088,0.072,0.055,,,,,,
2CXO J184631.7-025440,281.632149,-2.9112811,LM-STAR,6.137931034482352,2.1015199225324844e-15,3.554706315310259e-16,3.5527303398281726e-16,1.707167084336841e-16,3.3571546276744472e-15,2.1553244053079647e-15,0.7419156390728701,0.167,,,gcat,0.99378246,1.0,10.394852,10.709825,9.910616,0.002766,0.002849,0.00379,235.2298,0.014275,9.4e-05,9.424,0.953,242.553223,9.371,9.118,9.078,0.022,0.026,0.023,9.044,9.109,9.25,0.013,0.01,
2CXO J184747.7-124909,281.9489719,-12.8193396,LM-STAR,2.3684210526315383,2.8033870045658304e-15,1.5876747747954534e-15,1.0316728632524036e-15,7.935945101941349e-16,7.978845608028655e-18,6.028102749890869e-18,0.44116065769375,,,,gcat,0.97075593,1.0,10.326632,10.795952,9.68553,0.002778,0.002921,0.003817,145.3443,0.011379,0.000118,10.21,1.05,296.207855,8.904,8.588,8.513,0.027,0.047,0.023,8.431,8.428,8.382,0.013,0.01,0.026
2CXO J185203.5-012839,283.0148418,-1.4775465,CV,7.147452236506561,1.1458423533948256e-14,1.7703853918250449e-15,1.9432551152128777e-15,8.099389808730455e-16,6.85832527964398e-15,2.752261663482251e-15,0.83764786401873,0.584,,,gt,0.98764795,1.0,15.78878,16.434183,14.938209,0.006263,0.017289,0.014961,10.4124,0.0048769999999999,0.0,0.0,1.007,2472.42822,13.668,13.329,12.685,0.043,0.075,,,,,,,
2CXO J190447.4+090241,286.1977867,9.04484,HMXB,27.204167503498947,5.01872938628122e-15,1.9220665734694504e-15,5.6010606991281955e-14,6.3631736341911436e-15,1.5583463338457348e-12,6.604537379384763e-14,0.9986326276838996,,1.3114677649141206,0.1857226821090684,gt,0.99634933,1.0,19.756729,21.705069,18.256304,0.010367,0.226955,0.015526,-0.4655,0.004856,0.002826,8.485,1.186,6370.15039,15.177,14.168,13.503,0.066,0.114,0.063,,,,,,
2CXO J190935.7+493036,287.3988646,49.5101741,LM-STAR,63.23052663633357,1.516972773426659e-13,3.3403607566719694e-15,6.322152041939622e-14,1.9536959939941247e-15,7.605340775866621e-14,3.8353446700850176e-15,0.9999999836055818,1.0,3.6459650378174735,0.1470037059495289,gcat,0.9981379,1.0,11.030537,11.52683,10.364435,0.003008,0.004754,0.004846,245.0231,0.0217139999999999,0.000124,24.27,1.027,325.039917,9.559,9.066,8.934,0.019,0.029,0.021,8.866,8.882,8.792,0.012,0.008,0.024
2CXO J190951.9+493120,287.4666655,49.5223696,LM-STAR,2.3783783783783536,9.824799327469714e-16,4.475627575609858e-16,2.451893572022516e-16,1.83892017901689e-16,6.368292187851228e-16,4.811312505040348e-16,0.47894717652913,,,,gcat,0.99739903,1.0,11.991041,12.193464,11.647513,0.002761,0.002882,0.003802,193.3708,0.008567,7.5e-05,9.257,0.926,564.518005,11.281,11.095,11.098,0.021,0.029,0.023,11.073,11.087,11.032,0.011,0.008,0.081
2CXO J191001.2+050222,287.5053003,5.0395099,LM-STAR,4.540540540540489,2.9053919341471003e-15,6.650897198649999e-16,1.7208831311496042e-16,1.4964201140431602e-16,7.978845608028655e-18,6.028102749890869e-18,0.46070666832331,,,,gcat,0.991647,1.0,10.17579,10.420009,9.771218,0.002773,0.002848,0.003787,50.6684,0.002728,0.000321,104.5,2.109,495.318726,9.315,9.148,9.068,0.025,0.023,0.021,8.865,9.014,9.524,0.009,0.008,0.066
2CXO J191005.3+492548,287.5223935,49.430025,LM-STAR,9.1014012506369,1.6089974933004e-14,1.955423150389e-15,1.9653541683356e-15,5.568503476951001e-16,2.566573243289184e-15,2.1863401702093104e-15,0.6296874276051501,,,,gcat,0.9974873,1.0,10.600038,10.908414,10.134403,0.002782,0.003167,0.003928,609.2081,0.03123,8e-05,9.422,0.763,170.022705,9.652,9.39,9.333,0.02,0.021,0.022,9.296,9.31,9.239,0.013,0.008,0.027
2CXO J191633.4-160751,289.1393318,-16.1309968,LM-STAR,11.66799630236916,5.298368441732851e-15,5.276565265955245e-16,5.282953373713314e-16,1.2464243413678432e-16,3.902827965927517e-16,1.7016326957258574e-16,0.77490449218605,0.457,14.31651519554769,6.509113040822377,gcat,0.99634,1.0,10.32684,10.646076,9.84302,0.002782,0.00286,0.003792,37.6439,0.02632,0.00075,744.2,5.678,279.524963,9.316,9.047,8.952,0.023,0.023,0.023,8.917,8.943,8.924,0.012,0.009,0.034
